"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01827!!Estimate","ZCTA5 01827!!Margin of Error","ZCTA5 01827!!Percent","ZCTA5 01827!!Percent Margin of Error"
"        Northern America","28,855","±1,370","2.4%","±0.1","22","±16","10.0%","±7.8"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","3,207","±99","3,207","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","2,945","±135","91.8%","±3.1"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","262","±100","8.2%","±3.1"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","46","±34","1.4%","±1.1"
"        Spanish","623,189","±4,858","9.4%","±0.1","47","±29","1.5%","±0.9"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","8","±9","0.2%","±0.3"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","150","±75","4.7%","±2.3"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","10","±15","0.3%","±0.5"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","60","±60","1.9%","±1.9"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","28","±30","0.9%","±0.9"
"        Other languages","99,560","±3,943","1.5%","±0.1","5","±8","0.2%","±0.2"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±13","0.0%","±1.2"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","3,369","±29","3,369","(X)"
"        American","260,364","±6,504","3.7%","±0.1","95","±65","2.8%","±1.9"
"        Arab","72,487","±3,641","1.0%","±0.1","13","±13","0.4%","±0.4"
"        Czech","12,119","±1,098","0.2%","±0.1","0","±13","0.0%","±1.2"
"        Danish","14,346","±1,162","0.2%","±0.1","4","±7","0.1%","±0.2"
"        Dutch","34,354","±1,922","0.5%","±0.1","40","±38","1.2%","±1.1"
"        English","655,283","±8,406","9.4%","±0.1","599","±140","17.8%","±4.2"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","306","±96","9.1%","±2.9"
"        French Canadian","235,524","±4,384","3.4%","±0.1","200","±72","5.9%","±2.1"
"        German","387,135","±7,027","5.5%","±0.1","178","±60","5.3%","±1.8"
"        Greek","76,566","±3,218","1.1%","±0.1","40","±26","1.2%","±0.8"
"        Hungarian","19,068","±1,432","0.3%","±0.1","19","±20","0.6%","±0.6"
"        Irish","1,345,219","±11,619","19.2%","±0.2","1,027","±219","30.5%","±6.5"
"        Italian","815,794","±9,186","11.7%","±0.1","392","±111","11.6%","±3.3"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","101","±83","3.0%","±2.5"
"        Norwegian","35,032","±1,997","0.5%","±0.1","13","±11","0.4%","±0.3"
"        Polish","283,050","±4,814","4.0%","±0.1","121","±55","3.6%","±1.6"
"        Portuguese","270,183","±5,260","3.9%","±0.1","48","±35","1.4%","±1.0"
"        Russian","91,511","±3,161","1.3%","±0.1","37","±25","1.1%","±0.7"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","36","±38","1.1%","±1.1"
"        Scottish","134,503","±3,385","1.9%","±0.1","98","±55","2.9%","±1.6"
"        Slovak","7,069","±828","0.1%","±0.1","4","±6","0.1%","±0.2"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","0","±13","0.0%","±1.2"
"        Swedish","102,031","±2,873","1.5%","±0.1","51","±37","1.5%","±1.1"
"        Swiss","10,126","±912","0.1%","±0.1","0","±13","0.0%","±1.2"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","24","±26","0.7%","±0.8"
"        Welsh","23,388","±1,506","0.3%","±0.1","16","±23","0.5%","±0.7"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","0","±13","0.0%","±1.2"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,136","±48","1,136","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","1,110","±47","97.7%","±1.5"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","1,120","±47","98.6%","±1.2"
