"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01230!!Estimate","ZCTA5 01230!!Margin of Error","ZCTA5 01230!!Percent","ZCTA5 01230!!Percent Margin of Error"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,606","±306","24.8%","±4.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,276","±286","19.7%","±4.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","6,187","±482","95.4%","±1.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,882","±356","44.4%","±5.3"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","7,289","±515","7,289","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","438","±170","6.0%","±2.2"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","8,809","±578","8,809","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","807","±183","9.2%","±2.1"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,742","±293","1,742","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","49","±42","2.8%","±2.5"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","5,126","±545","5,126","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","254","±81","5.0%","±1.6"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,941","±324","1,941","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","504","±162","26.0%","±6.9"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","9,080","±567","9,080","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","7,636","±574","84.1%","±3.9"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","1,444","±374","15.9%","±3.9"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,390","±369","15.3%","±3.9"
"                Same county","446,141","±8,933","6.4%","±0.1","608","±201","6.7%","±2.1"
"                Different county","354,693","±6,215","5.1%","±0.1","782","±321","8.6%","±3.5"
"                    Same state","205,752","±5,091","3.0%","±0.1","129","±74","1.4%","±0.8"
"                    Different state","148,941","±3,990","2.2%","±0.1","653","±311","7.2%","±3.4"
"            Abroad","61,536","±2,941","0.9%","±0.1","54","±56","0.6%","±0.6"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","9,139","±571","9,139","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","8,665","±559","94.8%","±1.6"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","8,489","±567","92.9%","±2.2"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","4,566","±627","50.0%","±5.1"
"                Different state","1,398,292","±9,460","20.0%","±0.1","3,923","±413","42.9%","±4.8"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","176","±130","1.9%","±1.4"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","474","±146","5.2%","±1.6"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","474","±146","474","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","299","±126","63.1%","±16.3"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","175","±85","36.9%","±16.3"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","650","±202","650","(X)"
"        Native","209,292","±4,176","209,292","(X)","176","±130","176","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","93","±97","52.8%","±39.7"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","83","±91","47.2%","±39.7"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","474","±146","474","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","105","±68","22.2%","±14.2"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","369","±142","77.8%","±14.2"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","474","±146","474","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","172","±87","36.3%","±16.7"
"        Asia","372,717","±3,581","30.8%","±0.3","47","±56","9.9%","±11.3"
"        Africa","113,823","±3,313","9.4%","±0.3","22","±22","4.6%","±4.5"
"        Oceania","4,098","±490","0.3%","±0.1","2","±4","0.4%","±0.8"
"        Latin America","456,601","±7,328","37.7%","±0.5","164","±95","34.6%","±17.1"
"        Northern America","28,855","±1,370","2.4%","±0.1","67","±63","14.1%","±12.3"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","8,630","±559","8,630","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","8,084","±564","93.7%","±1.8"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","546","±155","6.3%","±1.8"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","121","±84","1.4%","±1.0"
"        Spanish","623,189","±4,858","9.4%","±0.1","184","±124","2.1%","±1.5"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","49","±61","0.6%","±0.7"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","308","±133","3.6%","±1.5"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","50","±47","0.6%","±0.5"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","41","±27","0.5%","±0.3"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","22","±20","0.3%","±0.2"
"        Other languages","99,560","±3,943","1.5%","±0.1","13","±12","0.2%","±0.1"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±19","0.0%","±0.5"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","9,139","±571","9,139","(X)"
"        American","260,364","±6,504","3.7%","±0.1","493","±181","5.4%","±2.0"
"        Arab","72,487","±3,641","1.0%","±0.1","0","±19","0.0%","±0.4"
"        Czech","12,119","±1,098","0.2%","±0.1","9","±16","0.1%","±0.2"
"        Danish","14,346","±1,162","0.2%","±0.1","13","±23","0.1%","±0.2"
"        Dutch","34,354","±1,922","0.5%","±0.1","192","±157","2.1%","±1.7"
"        English","655,283","±8,406","9.4%","±0.1","1,335","±279","14.6%","±3.1"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","386","±200","4.2%","±2.2"
"        French Canadian","235,524","±4,384","3.4%","±0.1","348","±161","3.8%","±1.7"
"        German","387,135","±7,027","5.5%","±0.1","1,142","±398","12.5%","±4.0"
"        Greek","76,566","±3,218","1.1%","±0.1","67","±73","0.7%","±0.8"
"        Hungarian","19,068","±1,432","0.3%","±0.1","105","±72","1.1%","±0.8"
"        Irish","1,345,219","±11,619","19.2%","±0.2","1,823","±439","19.9%","±4.4"
"        Italian","815,794","±9,186","11.7%","±0.1","1,021","±285","11.2%","±3.2"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","154","±61","1.7%","±0.7"
"        Norwegian","35,032","±1,997","0.5%","±0.1","25","±18","0.3%","±0.2"
"        Polish","283,050","±4,814","4.0%","±0.1","775","±358","8.5%","±3.9"
"        Portuguese","270,183","±5,260","3.9%","±0.1","26","±32","0.3%","±0.3"
"        Russian","91,511","±3,161","1.3%","±0.1","199","±81","2.2%","±0.9"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","62","±52","0.7%","±0.6"
"        Scottish","134,503","±3,385","1.9%","±0.1","260","±107","2.8%","±1.2"
"        Slovak","7,069","±828","0.1%","±0.1","4","±7","0.0%","±0.1"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","86","±86","0.9%","±0.9"
"        Swedish","102,031","±2,873","1.5%","±0.1","191","±185","2.1%","±2.1"
"        Swiss","10,126","±912","0.1%","±0.1","5","±6","0.1%","±0.1"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","40","±41","0.4%","±0.4"
"        Welsh","23,388","±1,506","0.3%","±0.1","27","±25","0.3%","±0.3"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","21","±37","0.2%","±0.4"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,793","±319","3,793","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","3,439","±302","90.7%","±4.2"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","3,255","±294","85.8%","±5.0"
