"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error"
"        Per 1,000 women 35 to 50 years old","37","±3","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","123,065","±7,115","123,065","(X)"
"        Grandparents responsible for grandchildren","27,988","±3,450","22.7%","±2.4"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","3,247","±1,130","2.6%","±0.9"
"            1 or 2 years","4,753","±1,492","3.9%","±1.1"
"            3 or 4 years","5,933","±1,718","4.8%","±1.3"
"            5 or more years","14,055","±2,386","11.4%","±1.9"
"    Number of grandparents responsible for own grandchildren under 18 years","27,988","±3,450","27,988","(X)"
"        Who are female","19,083","±2,230","68.2%","±4.0"
"        Who are married","17,089","±3,220","61.1%","±6.9"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","1,669,642","±11,979","1,669,642","(X)"
"        Nursery school, preschool","86,913","±5,223","5.2%","±0.3"
"        Kindergarten","73,187","±3,965","4.4%","±0.2"
"        Elementary school (grades 1-8)","608,808","±6,580","36.5%","±0.5"
"        High school (grades 9-12)","340,600","±6,098","20.4%","±0.4"
"        College or graduate school","560,134","±10,813","33.5%","±0.5"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","4,934,755","±3,237","4,934,755","(X)"
"        Less than 9th grade","222,572","±8,990","4.5%","±0.2"
"        9th to 12th grade, no diploma","216,620","±7,871","4.4%","±0.2"
"        High school graduate (includes equivalency)","1,124,134","±15,562","22.8%","±0.3"
"        Some college, no degree","694,438","±14,268","14.1%","±0.3"
"        Associate's degree","376,568","±10,932","7.6%","±0.2"
"        Bachelor's degree","1,250,748","±18,214","25.3%","±0.4"
"        Graduate or professional degree","1,049,675","±16,874","21.3%","±0.3"
"        High school graduate or higher","4,495,563","±13,039","91.1%","±0.3"
"        Bachelor's degree or higher","2,300,423","±21,552","46.6%","±0.4"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","5,617,276","±1,583","5,617,276","(X)"
"        Civilian veterans","238,039","±7,249","4.2%","±0.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","6,916,106","±1,112","6,916,106","(X)"
"        With a disability","810,146","±15,475","11.7%","±0.2"
"    Under 18 years","1,359,802","±1,154","1,359,802","(X)"
"        With a disability","63,228","±4,616","4.6%","±0.3"
"    18 to 64 years","4,374,386","±2,501","4,374,386","(X)"
"        With a disability","388,985","±11,388","8.9%","±0.3"
"    65 years and over","1,181,918","±2,268","1,181,918","(X)"
"        With a disability","357,933","±9,034","30.3%","±0.8"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","6,916,314","±4,173","6,916,314","(X)"
"        Same house","6,043,959","±21,629","87.4%","±0.3"
"        Different house (in the U.S. or abroad)","872,355","±21,302","12.6%","±0.3"
"            Different house in the U.S.","821,465","±20,154","11.9%","±0.3"
"                Same county","433,009","±17,124","6.3%","±0.2"
"                Different county","388,456","±12,832","5.6%","±0.2"
"                    Same state","230,145","±11,341","3.3%","±0.2"
"                    Different state","158,311","±7,554","2.3%","±0.1"
"            Abroad","50,890","±5,007","0.7%","±0.1"
"PLACE OF BIRTH","","","",""
"    Total population","6,984,723","*****","6,984,723","(X)"
"        Native","5,757,235","±21,752","82.4%","±0.3"
"            Born in United States","5,545,008","±21,937","79.4%","±0.3"
"                State of residence","4,125,638","±28,247","59.1%","±0.4"
"                Different state","1,419,370","±21,976","20.3%","±0.3"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","212,227","±8,864","3.0%","±0.1"
"        Foreign born","1,227,488","±21,752","17.6%","±0.3"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","1,227,488","±21,752","1,227,488","(X)"
"        Naturalized U.S. citizen","669,636","±15,629","54.6%","±1.1"
"        Not a U.S. citizen","557,852","±17,867","45.4%","±1.1"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","1,439,715","±21,937","1,439,715","(X)"
"        Native","212,227","±8,864","212,227","(X)"
"            Entered 2010 or later","74,628","±6,637","35.2%","±2.6"
"            Entered before 2010","137,599","±7,605","64.8%","±2.6"
"        Foreign born","1,227,488","±21,752","1,227,488","(X)"
"            Entered 2010 or later","442,464","±16,246","36.0%","±1.0"
"            Entered before 2010","785,024","±16,136","64.0%","±1.0"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","1,227,488","±21,752","1,227,488","(X)"
"        Europe","226,561","±10,396","18.5%","±0.8"
"        Asia","376,330","±9,154","30.7%","±0.8"
"        Africa","117,390","±8,281","9.6%","±0.7"
"        Oceania","4,215","±1,395","0.3%","±0.1"
"        Latin America","475,944","±17,388","38.8%","±1.1"
"        Northern America","27,048","±2,539","2.2%","±0.2"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","6,638,548","±1,270","6,638,548","(X)"
"        English only","5,008,949","±23,723","75.5%","±0.4"
"        Language other than English","1,629,599","±23,570","24.5%","±0.4"
"            Speak English less than ""very well""","661,257","±16,745","10.0%","±0.3"
"        Spanish","624,055","±12,208","9.4%","±0.2"
"            Speak English less than ""very well""","269,923","±10,394","4.1%","±0.2"
"        Other Indo-European languages","609,343","±20,002","9.2%","±0.3"
"            Speak English less than ""very well""","229,538","±12,439","3.5%","±0.2"
"        Asian and Pacific Islander languages","292,912","±9,415","4.4%","±0.1"
"            Speak English less than ""very well""","133,945","±6,252","2.0%","±0.1"
"        Other languages","103,289","±9,418","1.6%","±0.1"
"            Speak English less than ""very well""","27,851","±4,128","0.4%","±0.1"
"ANCESTRY","","","",""
"    Total population","6,984,723","*****","6,984,723","(X)"
"        American","250,540","±12,719","3.6%","±0.2"
"        Arab","73,968","±7,113","1.1%","±0.1"
"        Czech","10,753","±1,437","0.2%","±0.1"
"        Danish","14,384","±3,274","0.2%","±0.1"
"        Dutch","28,256","±3,275","0.4%","±0.1"
"        English","682,203","±15,848","9.8%","±0.2"
"        French (except Basque)","352,658","±13,570","5.0%","±0.2"
"        French Canadian","197,380","±8,334","2.8%","±0.1"
"        German","379,343","±12,066","5.4%","±0.2"
"        Greek","70,934","±7,317","1.0%","±0.1"
"        Hungarian","14,908","±2,201","0.2%","±0.1"
"        Irish","1,281,226","±25,647","18.3%","±0.4"
"        Italian","759,752","±18,297","10.9%","±0.3"
"        Lithuanian","38,594","±4,209","0.6%","±0.1"
"        Norwegian","31,046","±3,833","0.4%","±0.1"
"        Polish","252,077","±11,290","3.6%","±0.2"
"        Portuguese","253,913","±8,676","3.6%","±0.1"
"        Russian","83,295","±5,763","1.2%","±0.1"
"        Scotch-Irish","35,147","±3,395","0.5%","±0.1"
"        Scottish","120,006","±7,525","1.7%","±0.1"
"        Slovak","7,571","±1,604","0.1%","±0.1"
"        Subsaharan African","151,157","±12,736","2.2%","±0.2"
"        Swedish","92,866","±6,326","1.3%","±0.1"
"        Swiss","10,536","±1,855","0.2%","±0.1"
"        Ukrainian","25,257","±3,797","0.4%","±0.1"
"        Welsh","20,684","±2,879","0.3%","±0.1"
"        West Indian (excluding Hispanic origin groups)","139,157","±11,623","2.0%","±0.2"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","2,759,018","±9,086","2,759,018","(X)"
"        With a computer","2,625,939","±10,621","95.2%","±0.2"
"        With a broadband Internet subscription","2,543,420","±11,350","92.2%","±0.3"
