"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"            Entered before 2010","4,022,513","±18,481","73.8%","±0.2"
"        Foreign born","44,844,808","±126,423","44,844,808","(X)"
"            Entered 2010 or later","11,079,250","±58,585","24.7%","±0.1"
"            Entered before 2010","33,765,558","±89,028","75.3%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","44,844,267","±126,391","44,844,267","(X)"
"        Europe","4,844,388","±23,621","10.8%","±0.1"
"        Asia","13,969,568","±38,205","31.2%","±0.1"
"        Africa","2,477,515","±21,437","5.5%","±0.1"
"        Oceania","289,063","±4,525","0.6%","±0.1"
"        Latin America","22,435,537","±89,316","50.0%","±0.1"
"        Northern America","828,196","±9,322","1.8%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","310,302,360","±4,330","310,302,360","(X)"
"        English only","243,098,950","±183,228","78.3%","±0.1"
"        Language other than English","67,203,410","±183,032","21.7%","±0.1"
"            Speak English less than ""very well""","25,535,259","±112,869","8.2%","±0.1"
"        Spanish","41,157,140","±116,432","13.3%","±0.1"
"            Speak English less than ""very well""","16,079,944","±81,906","5.2%","±0.1"
"        Other Indo-European languages","11,525,491","±58,458","3.7%","±0.1"
"            Speak English less than ""very well""","3,497,837","±26,648","1.1%","±0.1"
"        Asian and Pacific Islander languages","10,906,763","±28,450","3.5%","±0.1"
"            Speak English less than ""very well""","4,875,197","±19,334","1.6%","±0.1"
"        Other languages","3,614,016","±30,277","1.2%","±0.1"
"            Speak English less than ""very well""","1,082,281","±13,585","0.3%","±0.1"
"ANCESTRY","","","",""
"    Total population","329,725,481","*****","329,725,481","(X)"
"        American","18,914,234","±64,095","5.7%","±0.1"
"        Arab","2,125,082","±26,255","0.6%","±0.1"
"        Czech","1,301,194","±11,013","0.4%","±0.1"
"        Danish","1,211,281","±13,163","0.4%","±0.1"
"        Dutch","3,526,415","±21,375","1.1%","±0.1"
"        English","26,773,192","±112,181","8.1%","±0.1"
"        French (except Basque)","7,108,827","±29,566","2.2%","±0.1"
"        French Canadian","1,906,071","±18,406","0.6%","±0.1"
"        German","42,298,512","±91,860","12.8%","±0.1"
"        Greek","1,243,592","±12,286","0.4%","±0.1"
"        Hungarian","1,325,923","±11,898","0.4%","±0.1"
"        Irish","31,536,194","±59,597","9.6%","±0.1"
"        Italian","16,513,339","±51,003","5.0%","±0.1"
"        Lithuanian","622,561","±9,270","0.2%","±0.1"
"        Norwegian","4,199,299","±23,959","1.3%","±0.1"
"        Polish","8,810,275","±40,478","2.7%","±0.1"
"        Portuguese","1,361,521","±14,755","0.4%","±0.1"
"        Russian","2,488,255","±14,943","0.8%","±0.1"
"        Scotch-Irish","2,799,085","±20,689","0.8%","±0.1"
"        Scottish","5,227,571","±24,558","1.6%","±0.1"
"        Slovak","648,238","±8,430","0.2%","±0.1"
"        Subsaharan African","3,939,778","±36,365","1.2%","±0.1"
"        Swedish","3,544,120","±21,799","1.1%","±0.1"
"        Swiss","891,010","±11,685","0.3%","±0.1"
"        Ukrainian","1,017,586","±11,015","0.3%","±0.1"
"        Welsh","1,787,935","±15,611","0.5%","±0.1"
"        West Indian (excluding Hispanic origin groups)","3,050,625","±25,219","0.9%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","124,010,992","±196,755","124,010,992","(X)"
"        With a computer","115,397,459","±215,311","93.1%","±0.1"
"        With a broadband Internet subscription","107,890,426","±274,897","87.0%","±0.1"
