"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01879!!Estimate","ZCTA5 01879!!Margin of Error","ZCTA5 01879!!Percent","ZCTA5 01879!!Percent Margin of Error"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","1,458","±481","11.7%","±3.9"
"        French Canadian","235,524","±4,384","3.4%","±0.1","982","±391","7.9%","±3.1"
"        German","387,135","±7,027","5.5%","±0.1","906","±359","7.3%","±2.9"
"        Greek","76,566","±3,218","1.1%","±0.1","159","±113","1.3%","±0.9"
"        Hungarian","19,068","±1,432","0.3%","±0.1","0","±21","0.0%","±0.3"
"        Irish","1,345,219","±11,619","19.2%","±0.2","3,460","±608","27.8%","±4.9"
"        Italian","815,794","±9,186","11.7%","±0.1","1,780","±796","14.3%","±6.4"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","75","±87","0.6%","±0.7"
"        Norwegian","35,032","±1,997","0.5%","±0.1","0","±21","0.0%","±0.3"
"        Polish","283,050","±4,814","4.0%","±0.1","751","±285","6.0%","±2.3"
"        Portuguese","270,183","±5,260","3.9%","±0.1","497","±211","4.0%","±1.7"
"        Russian","91,511","±3,161","1.3%","±0.1","118","±101","0.9%","±0.8"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","322","±359","2.6%","±2.9"
"        Scottish","134,503","±3,385","1.9%","±0.1","489","±389","3.9%","±3.1"
"        Slovak","7,069","±828","0.1%","±0.1","31","±37","0.2%","±0.3"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","0","±21","0.0%","±0.3"
"        Swedish","102,031","±2,873","1.5%","±0.1","234","±165","1.9%","±1.3"
"        Swiss","10,126","±912","0.1%","±0.1","17","±29","0.1%","±0.2"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","58","±54","0.5%","±0.4"
"        Welsh","23,388","±1,506","0.3%","±0.1","0","±21","0.0%","±0.3"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","49","±79","0.4%","±0.6"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,053","±285","4,053","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","4,006","±282","98.8%","±1.3"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","3,945","±282","97.3%","±1.4"
