,Year,Zip Code,Category,Measure,Data_Value_Type,Data_Value,Confidence Interval
37,2020,01464,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,18.0,"(17.0, 19.1)"
38,2020,01467,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,27.1,"(25.3, 29.2)"
39,2020,01501,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,28.4,"(27.7, 29.1)"
40,2020,01518,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,8.1,"(7.4, 8.8)"
41,2020,01525,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,28.6,"(26.8, 30.4)"
42,2020,01529,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,30.7,"(29.0, 32.4)"
43,2020,01542,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,81.4,"(79.0, 83.5)"
44,2020,01543,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,19.0,"(17.8, 20.3)"
45,2020,01570,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,11.1,"(10.8, 11.4)"
46,2020,01588,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,19.6,"(18.8, 20.5)"
47,2020,01603,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,25.7,"(25.3, 26.0)"
48,2020,01702,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.4,"(2.3, 2.5)"
49,2020,01719,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.9,"(1.7, 2.2)"
50,2020,01731,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,6.8,"(3.7, 10.9)"
51,2020,01741,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,20.2,"(18.9, 21.6)"
52,2020,01748,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.7,"(1.6, 1.9)"
53,2020,01756,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,18.2,"(17.8, 18.8)"
54,2020,01772,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.7,"(9.3, 10.1)"
55,2020,01773,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.4,"(2.1, 2.8)"
56,2020,01827,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,22.0,"(20.3, 23.6)"
57,2020,01852,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,11.0,"(10.8, 11.1)"
58,2020,01880,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,4.9,"(4.3, 5.5)"
59,2020,01901,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,16.5,"(15.7, 17.2)"
60,2020,01904,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.8,"(2.7, 3.0)"
61,2020,01966,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,9.2,"(8.9, 9.6)"
62,2020,01966,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.8,"(2.5, 3.2)"
63,2020,01984,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,20.8,"(19.3, 22.2)"
64,2020,02025,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,5.3,"(4.7, 5.9)"
65,2020,02030,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.0,"(1.7, 2.3)"
66,2020,02053,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.0,"(1.8, 2.3)"
67,2020,02118,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,19.7,"(19.6, 19.9)"
68,2020,02122,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,11.8,"(11.6, 11.9)"
69,2020,02130,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.1,"(2.0, 2.1)"
70,2020,02136,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,3.1,"(3.0, 3.3)"
71,2020,02140,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.9,"(1.8, 2.0)"
72,2020,02169,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,13.2,"(12.4, 14.0)"
73,2020,02184,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.5,"(2.4, 2.7)"
74,2020,02191,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,16.8,"(16.6, 17.0)"
75,2020,02199,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.6,"(79.3, 85.1)"
76,2020,02346,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,14.4,"(13.8, 15.0)"
77,2020,02420,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,22.2,"(21.5, 22.8)"
78,2020,02452,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,17.6,"(17.1, 18.1)"
79,2020,02459,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,77.9,"(77.5, 78.2)"
80,2020,02467,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.6,"(1.5, 1.6)"
81,2020,02472,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.0,"(1.8, 2.1)"
82,2020,02476,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,79.6,"(78.2, 80.7)"
83,2020,02562,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,25.6,"(24.0, 27.3)"
84,2020,02575,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,7.3,"(4.2, 11.4)"
85,2020,02630,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,30.0,"(27.9, 32.1)"
86,2020,02645,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,9.4,"(8.8, 10.0)"
87,2020,02645,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,9.3,"(8.7, 9.9)"
88,2020,02647,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,27.5,"(25.7, 29.3)"
89,2020,02648,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.5,"(2.3, 2.8)"
90,2020,02650,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,10.2,"(8.9, 11.6)"
91,2020,02653,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,23.6,"(22.6, 24.6)"
92,2020,02670,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,23.6,"(21.9, 25.3)"
93,2020,02673,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,28.0,"(26.9, 29.1)"
94,2020,02713,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,24.5,"(22.1, 26.8)"
95,2020,02717,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,7.7,"(7.0, 8.4)"
96,2020,02719,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,30.5,"(29.7, 31.4)"
97,2020,02726,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,25.1,"(24.2, 25.9)"
98,2020,02767,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.4,"(2.2, 2.7)"
99,2020,02791,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,21.8,"(20.3, 23.3)"
7416,2020,02646,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,17.5,"(16.6, 18.5)"
7417,2020,01128,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,76.4,"(74.1, 78.5)"
7418,2020,01937,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,7.2,"(6.7, 7.7)"
7419,2020,01034,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,8.8,"(7.9, 9.7)"
7420,2020,02633,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,78.3,"(75.9, 80.4)"
7424,2020,01053,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,23.0,"(21.4, 24.7)"
7425,2020,01003,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,72.3,"(69.0, 75.4)"
7426,2020,02144,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,5.1,"(4.5, 5.8)"
7428,2019,02780,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,29.8,"(29.5, 30.1)"
7429,2020,01534,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.1,"(79.4, 84.5)"
7430,2020,01566,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.4,"(2.2, 2.7)"
7431,2019,01826,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,27.4,"(26.8, 28.0)"
7432,2020,01550,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,34.9,"(34.3, 35.5)"
7433,2020,02715,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.4,"(79.1, 85.5)"
7434,2020,02109,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,85.3,"(83.6, 86.7)"
7435,2020,02478,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,54.2,"(51.7, 56.8)"
7437,2020,01129,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,20.1,"(19.5, 20.8)"
7438,2020,01259,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,9.8,"(5.5, 15.4)"
7439,2020,02563,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,75.9,"(73.7, 78.1)"
7440,2020,01923,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,13.1,"(12.5, 13.7)"
7441,2020,01536,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,12.8,"(11.1, 14.5)"
7442,2020,01075,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,7.0,"(6.8, 7.2)"
7443,2020,01089,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.1,"(80.8, 83.5)"
7444,2019,02771,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,29.8,"(28.7, 30.9)"
7445,2020,01540,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,33.3,"(32.1, 34.5)"
7446,2020,01560,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,13.0,"(11.9, 14.2)"
7447,2020,01062,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,10.3,"(9.1, 11.7)"
7448,2020,02111,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,7.8,"(6.5, 9.4)"
7449,2019,01253,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,92.4,"(91.1, 93.6)"
7450,2020,01810,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,15.9,"(15.1, 16.8)"
7452,2020,02675,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,10.7,"(10.0, 11.5)"
7453,2020,02111,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,15.8,"(15.1, 16.5)"
7454,2020,02019,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,8.9,"(7.9, 10.0)"
7455,2020,02493,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,15.7,"(15.1, 16.4)"
7456,2020,02777,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,6.6,"(6.0, 7.3)"
7457,2019,01602,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,28.8,"(28.3, 29.2)"
7458,2020,02538,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.6,"(2.5, 2.8)"
7459,2020,01368,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,80.4,"(77.5, 83.1)"
7460,2020,02149,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,5.6,"(5.5, 5.7)"
7461,2020,01432,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,7.1,"(6.4, 7.8)"
7462,2020,02764,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,11.2,"(6.8, 16.6)"
7463,2020,01085,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,13.5,"(11.4, 16.0)"
7464,2020,01937,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,75.0,"(69.6, 79.8)"
7467,2019,01083,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,74.5,"(73.2, 75.9)"
7468,2020,01434,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,72.5,"(71.4, 73.6)"
7469,2020,01229,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,4.8,"(3.5, 6.4)"
7470,2020,01969,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.2,"(1.9, 2.6)"
7471,2020,02724,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,13.3,"(12.9, 13.7)"
7472,2020,02045,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,82.1,"(80.1, 84.0)"
7473,2020,01040,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,14.9,"(14.6, 15.0)"
7474,2020,01826,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,22.0,"(21.3, 22.6)"
7478,2019,02747,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,25.3,"(24.7, 25.9)"
7480,2020,01467,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,5.6,"(5.0, 6.5)"
7482,2019,01851,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,70.6,"(70.3, 71.0)"
7484,2020,02492,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,7.0,"(6.3, 8.0)"
7485,2020,01460,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,9.8,"(8.2, 11.4)"
7486,2019,01375,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,87.0,"(84.2, 89.1)"
7487,2020,01098,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,30.5,"(28.4, 32.5)"
7489,2020,01536,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,5.2,"(4.6, 6.0)"
7490,2019,02210,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,19.7,"(19.3, 20.1)"
7491,2019,01075,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,25.0,"(24.5, 25.4)"
7492,2020,02702,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.4,"(2.2, 2.6)"
7493,2020,02135,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,28.7,"(28.2, 29.2)"
7494,2020,02540,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,76.6,"(74.4, 78.7)"
7495,2020,01093,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,72.5,"(67.9, 76.3)"
7497,2020,02638,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,42.6,"(36.4, 47.9)"
7499,2020,01118,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,15.9,"(15.5, 16.3)"
7500,2019,01748,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,71.8,"(71.0, 72.7)"
7501,2020,01537,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,20.2,"(18.9, 21.4)"
7502,2020,02543,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,81.4,"(80.7, 82.1)"
7503,2020,02026,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.8,"(9.6, 10.0)"
7504,2020,01373,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,18.2,"(16.5, 19.9)"
7505,2019,01080,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,75.3,"(73.9, 76.5)"
7506,2020,02672,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,9.0,"(8.2, 9.8)"
7507,2020,02138,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.4,"(4.4, 4.5)"
7508,2020,02764,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,46.3,"(39.1, 53.5)"
7509,2019,01534,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,28.1,"(27.0, 29.2)"
7510,2020,01612,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,6.7,"(6.4, 7.1)"
7511,2020,01034,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,17.2,"(16.6, 18.1)"
7512,2020,02633,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,3.6,"(3.3, 3.8)"
7513,2019,01901,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,80.0,"(79.5, 80.5)"
7515,2020,01521,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,15.4,"(14.2, 16.6)"
7516,2020,02128,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,4.7,"(4.6, 4.9)"
7517,2020,01612,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,83.4,"(79.6, 86.3)"
7518,2020,02562,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,5.5,"(4.6, 6.5)"
7520,2020,02048,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,76.3,"(74.5, 78.0)"
7521,2020,01542,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,10.4,"(9.2, 11.7)"
7523,2020,01756,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,31.1,"(29.2, 33.1)"
7525,2019,01238,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,91.7,"(90.3, 92.9)"
7526,2020,02650,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,10.8,"(8.5, 14.5)"
7529,2020,01420,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,26.1,"(25.2, 27.0)"
7530,2020,01604,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,31.8,"(31.4, 32.2)"
7531,2020,01062,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,84.7,"(83.0, 86.3)"
7532,2020,01571,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,74.8,"(72.3, 77.1)"
7533,2020,02534,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,19.1,"(17.9, 20.3)"
7534,2020,01082,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,16.8,"(16.5, 17.3)"
7535,2020,02535,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,87.4,"(85.2, 89.5)"
7536,2019,01803,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,30.1,"(29.7, 30.5)"
7537,2020,02536,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,41.5,"(38.4, 44.4)"
7538,2020,01913,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,11.1,"(10.8, 11.5)"
7540,2020,01237,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,80.3,"(77.1, 83.2)"
7541,2020,02364,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,7.7,"(7.4, 8.0)"
7542,2020,01022,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,6.3,"(5.7, 6.9)"
7543,2020,01520,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,7.3,"(6.7, 7.8)"
7544,2020,02032,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,80.6,"(77.4, 83.2)"
7545,2019,02119,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,75.2,"(74.9, 75.5)"
7546,2020,01244,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,17.2,"(14.0, 20.4)"
7547,2020,01077,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,18.4,"(16.3, 20.5)"
7548,2020,02460,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.7,"(3.3, 4.1)"
7549,2020,01505,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,60.1,"(52.4, 66.8)"
7550,2020,01007,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.2,"(2.1, 2.4)"
7551,2020,02465,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,7.6,"(7.4, 7.8)"
7552,2020,01740,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,17.5,"(16.4, 18.8)"
7553,2020,02460,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,13.4,"(12.5, 14.5)"
7554,2019,01611,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,27.5,"(26.3, 28.6)"
7556,2020,02364,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,87.5,"(86.1, 88.7)"
7557,2020,01255,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,18.7,"(17.4, 20.0)"
7558,2020,02453,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,20.8,"(20.3, 21.2)"
7559,2020,02630,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,10.1,"(7.4, 13.2)"
7560,2020,01097,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,18.4,"(17.0, 19.7)"
7561,2020,01070,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,79.0,"(74.4, 82.9)"
7562,2020,02122,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,80.0,"(79.3, 80.7)"
7563,2020,02127,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,15.7,"(15.4, 16.0)"
7564,2020,01070,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,28.1,"(26.4, 30.0)"
7565,2020,01220,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,77.6,"(75.2, 79.9)"
7566,2019,01222,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,75.6,"(74.2, 77.0)"
